binding_energy_eV,raw_intensity,background,component:imide_carbonyl_O,component:acid_carbonyl_O,component:acid_hydroxyl_OH,total_fit,residual
525.0000537109374,22324.718396099608,21911.46751760566,267.9598320843506,61.78575398851173,59.11953111149091,22300.33263479001,24.385761309597
525.1000537109375,23242.960913490562,21911.46751760566,276.96371084033734,63.5415198225949,60.61605773553859,22312.58880600413,930.3721074864334
525.2000537109375,22344.154421946037,22086.40727481762,286.4273342868807,65.37299224272681,62.17000941353478,22500.37761076076,-156.22318881472165
525.3000537109374,22635.221001804297,22086.40727481762,296.3824123297347,67.28457440055608,63.784355465424305,22513.858617013335,121.3623847909621
525.4000537109374,22730.460530794986,22128.50990055264,306.86342461667095,69.28099330138036,65.46225918668665,22570.116577657376,160.3439531376098
525.5000537109374,23030.91980703019,22183.47242730587,317.90791464689187,71.36732872255327,67.20709321794837,22639.954763893264,390.9650431369264
525.6000537109375,22385.290480024432,22289.919565083925,329.55682079004833,73.5490451798966,69.02245635072339,22762.047887404595,-376.7574073801625
525.7000537109375,22699.99781918115,22289.919565083925,341.8548495765587,75.83202731353907,70.91219192427046,22778.518633898293,-78.52081471714337
525.8000537109374,23000.213267630406,22319.165901467913,354.85089750853234,78.22261911616754,72.88040798761985,22825.119826080234,175.09344155017243
525.9000537109374,22985.829257495076,22400.230570679654,368.5985286932254,80.72766748623567,74.93149942247679,22924.48826628159,61.34099121348481
526.0000537109374,22284.518074024676,22469.009919450116,383.1565168526821,83.35457065760127,77.07017224734018,23012.59117920774,-728.0731051830626
526.1000537109375,23243.392179822342,22469.009919450116,398.58946175726396,86.1113321372248,79.30147035142548,23033.01218369603,210.3799961263103
526.2000537109375,22494.027926770257,22574.048703065873,414.96849191713426,89.00662087560443,81.63080493912155,23159.654620797734,-665.6266940274763
526.3000537109374,23111.97355420484,22574.048703065873,432.37206751040884,92.04983850325357,84.06398700266513,23182.5345960822,-70.56104187736128
526.4000537109374,22855.93403986147,22636.83035231032,450.8869001081552,95.25119459340466,86.60726318308444,23269.575710194964,-413.6416703334944
526.5000537109374,22731.89017736475,22639.40719651791,470.6090088736481,98.62179105964668,89.26735542811879,23297.905351879323,-566.015174514574
526.6000537109375,22632.180248036562,22639.40719651791,491.6449366917498,102.17371697178072,92.05150491203568,23325.277355093476,-693.097107056914
526.7000537109375,22770.08435613843,22639.40719651791,514.113154276984,105.92015527838805,94.96752074694992,23354.40802682023,-584.3236706817988
526.8000537109374,23153.8413552988,22639.40719651791,538.145685914168,109.87550316695463,98.02383409022609,23385.452219689258,-231.61086439045903
526.9000537109374,23138.833560648523,22672.033156610487,563.8899973497912,114.05550807904649,101.22955833939216,23451.208220378718,-312.37465973019425
527.0000537109374,23325.581314116593,22690.37315367611,591.51119479054,118.47742173797721,104.5945562067821,23504.95632641141,-179.3750122948186
527.1000537109375,22914.162028305756,22733.505797095684,621.1945943831728,123.16017495107702,108.12951458365397,23585.990081013588,-671.8280527078314
527.2000537109375,22642.725141447158,22733.505797095684,653.1487344665298,128.12457643110383,111.84602824037619,23626.625136233695,-983.8999947865377
527.3000537109374,23158.616429603542,22733.505797095684,687.6089189962756,133.39353945886307,115.75669356950227,23670.264949120326,-511.6485195167843
527.4000537109374,22527.265397397685,22733.505797095684,724.841400794207,138.99234090215646,119.87521376628162,23717.214752558328,-1189.9493551606429
527.5000537109374,23274.995426330308,22733.505797095684,765.1483390645498,144.94891794045637,124.21651706162373,23767.819571162312,-492.8241448320041
527.6000537109375,22746.20839372331,22733.505797095684,808.8736992276426,151.29420885275454,128.79688988248498,23822.470595058567,-1076.2622013352557
527.7000537109375,22915.890438061208,22733.505797095684,856.4103086911593,158.06254544722395,133.63412712129167,23881.61277835536,-965.7223402941527
527.8000537109374,23093.92615932184,22733.505797095684,908.2083480356973,165.29210619674384,138.74770205937094,23945.753953387495,-851.8277940656553
527.9000537109374,23367.240078161572,22733.505797095684,964.7856608183221,173.02544095697692,144.15895892068488,24015.47585779167,-648.2357796300967
528.0000537109374,23065.998592069947,22733.505797095684,1026.740444356853,181.31008036372506,149.89133154558462,24091.447653361847,-1025.4490612918999
528.1000537109375,23284.245329441306,22733.505797095684,1094.7672170630856,190.19924573645542,155.97059228772554,24174.44285218295,-890.1975227416442
528.2000537109375,23098.227988492486,22733.505797095684,1169.6776030035746,199.75267868491036,162.42513597151319,24265.36121475568,-1167.133226263195
528.3000537109374,23518.941541757264,22733.505797095684,1252.4287310909986,210.03761379604933,169.28630462987553,24365.258446612606,-846.3169048553427
528.4000537109374,22937.892376863943,22733.505797095684,1344.1644452100986,221.1299229929327,176.58875980550096,24475.388925104216,-1537.4965482402731
528.5000537109374,23683.36653624198,22733.505797095684,1446.2789240658942,233.1154667143728,184.3709104841941,24597.271098360146,-913.9045621181649
528.6000537109375,23449.078868894427,22733.505797095684,1560.5199646925853,246.09169542139279,192.67540628901398,24732.792863498675,-1283.713994604248
528.7000537109375,23439.13536790217,22733.505797095684,1689.1616233492452,260.1695558376202,201.54970746238754,24884.38668374494,-1445.2513158427682
528.8000537109374,23856.637658747404,22733.505797095684,1835.2944829486396,275.4757711422159,211.04674548339779,25055.322796669938,-1198.6851379225336
528.9000537109374,24164.21063936205,22733.505797095684,2003.3066268525329,292.1555857999591,221.22569101228177,25250.193700760457,-1085.9830613984086
529.0000537109374,24903.215534630523,22733.505797095684,2199.656439061065,310.3760996416327,232.15284935613397,25475.691185154516,-572.475650523993
529.1000537109375,24930.366764043578,22733.505797095684,2434.061009233765,330.3303746029228,243.90270797984536,25741.799888912217,-811.4331248686394
529.2000537109375,25041.119186701653,22733.505797095684,2721.224626796141,352.24260711299644,256.55916596462674,26063.53219696945,-1022.4130102677955
529.3000537109374,25737.447147239585,22733.505797095684,3083.185584121078,376.3748714606059,270.2169820406039,26463.283234717972,-725.8360874783866
529.4000537109374,25714.533100662,22733.505797095684,3552.2367225754174,403.0363529711993,284.9834863046061,26973.762358946908,-1259.2292582849077
529.5000537109374,26660.70192921049,22733.505797095684,4174.152516884273,432.5967782226921,300.98061161024106,27641.23570381289,-980.5337746024015
529.6000537109375,27484.503529166348,22733.505797095684,5011.133962065441,465.5071938218344,318.3473149541192,28528.49426793708,-1043.9907387707317
529.7000537109375,29298.680616410187,22733.505797095684,6143.508754003411,502.33375088304024,337.24247899910296,29716.590780981238,-417.9101645710507
529.8000537109374,30585.232835407118,22733.505797095684,7668.905147975418,543.8142124894308,357.8484133243259,31304.07357088486,-718.840735477741
529.9000537109374,32017.913660899598,22733.505797095684,9697.512944784956,590.9529422586213,380.375122912198,33402.34680705146,-1384.4331461518595
530.0000537109374,34622.34509623753,22733.505797095684,12342.321299320161,645.1781605550417,405.06559657894803,36126.070853549834,-1503.725757312306
530.1000537109375,38633.194961641966,22733.505797095684,15703.967147298803,708.5942537979507,432.2025293985346,39578.269727590974,-945.074765949008
