binding_energy_eV,raw_intensity,background,component:imide_carbonyl_O,component:acid_carbonyl_O,component:acid_hydroxyl_methoxy_O,total_fit,residual
525.0000537109374,22266.477176681034,22266.477176681034,264.949074744471,120.18329524827014,78.78574696150835,22730.395293635283,-463.91811695424985
525.1000537109375,21786.36859106832,22299.149768626536,273.9809388481241,123.54348695863253,80.79857031599873,22777.47276474929,-991.1041736809711
525.2000537109375,21900.60518788843,22331.822360572034,283.48065999425717,127.04619726947797,82.88934559838967,22825.23856343416,-924.6333755457308
525.3000537109374,22276.87022189765,22364.4949525175,293.4809743115299,130.69957770098281,85.06214084307712,22873.73764537309,-596.8674234754399
525.4000537109374,21958.26720984522,22397.167544463,304.01751851874457,134.5123692347704,87.32129229292049,22923.018724509435,-964.7515146642145
525.5000537109374,22152.877647520323,22429.8401364085,315.12914234452495,138.49395405136886,89.67142584687336,22973.134658651266,-820.2570111309433
525.6000537109375,22243.763455115295,22462.512728354,326.85826071232475,142.65441262639095,92.11748053012046,23024.142882222834,-780.3794271075385
525.7000537109375,21992.644688963257,22495.1853202995,339.251251548626,147.00458682695754,94.66473420699643,23076.105892882082,-1083.461203918825
525.8000537109374,22326.540352819935,22527.857912244963,352.3589060553602,151.55614973737013,97.31883178430064,23129.091799821992,-802.5514470020571
525.9000537109374,21297.727727178553,22560.530504190465,366.23693945604435,156.32168304383217,100.0858161837132,23183.174942874055,-1885.4472156955017
526.0000537109374,21442.136876754812,22593.203096135963,380.94657161766867,161.31476292435616,102.97216239742565,23238.436593075414,-1796.2997163206019
526.1000537109375,22232.404586603163,22625.875688081465,396.5551886161339,166.55005552498426,105.98481498174674,23294.96574720433,-1062.5611606011662
526.2000537109375,21983.59498480383,22658.548280026964,413.13709830939837,172.04342325966687,109.13122938975661,23352.860030985787,-1369.2650461819576
526.3000537109374,22111.927779825346,22691.22087197243,430.7743953847936,177.81204335307515,112.41941759738405,23412.226728307684,-1300.2989484823374
526.4000537109374,22198.17126018359,22723.893463917928,449.5579542455619,183.87454025750216,115.85799853846967,23473.183956959463,-1275.0126967758733
526.5000537109374,22007.490991770366,22756.56605586343,469.58857161052225,190.25113382229537,119.45625393474205,23535.86201523099,-1528.3710234606224
526.6000537109375,22137.457070933735,22789.238647808932,490.97828496452246,196.9638053841156,123.22419018802053,23600.40492834559,-1462.9478574118548
526.7000537109375,22049.577673970623,22821.91123975443,513.8518981935432,204.0364842859121,127.17260709574518,23666.972229329633,-1617.3945553590092
526.8000537109374,22314.769825620067,22854.583831699892,538.3487520970963,211.49525773234583,131.31317425978364,23735.741015789117,-1420.9711901690498
526.9000537109374,22212.112799219165,22887.256423645395,564.6247852799681,219.3686073607544,135.65851618472038,23806.908332470837,-1594.7955332516722
527.0000537109374,22430.04115160184,22919.929015590897,592.8549405565001,227.68767646384788,140.22230720858,23880.693939819823,-1450.6527882179835
527.1000537109375,22540.750933113675,22952.601607536395,623.23598393969,236.4865724612388,145.01937758027938,23957.343541517603,-1416.5926084039274
527.2000537109375,21502.82449950626,22985.274199481897,655.9898181804492,245.80271000190777,150.06583219793413,24037.132559862188,-2534.3080603559283
527.3000537109374,21519.884084965382,23017.94679142736,691.3673915915675,255.67720101602598,155.37918375645307,24120.370567791404,-2600.4864828260215
527.4000537109374,21838.072260988552,23050.61938337286,729.6533269476154,266.1552991538397,160.97850232781516,24207.40651180213,-2369.3342508135793
527.5000537109374,22216.23476585835,23083.29197531836,771.1714270178536,277.28690739130667,166.88458372086487,24298.634893448383,-2082.4001275900337
527.6000537109375,22638.331799955693,23115.96456726386,816.2912573778158,289.1271591971436,173.12013934942973,24394.50312318825,-1756.1713232325565
527.7000537109375,22336.845288275614,23148.63715920936,865.4360729864419,301.737085603961,179.71001078892925,24495.520328588693,-2158.675040313079
527.8000537109374,22643.04130769316,23181.309751154826,919.0924625089037,315.18438288538204,186.68141273738476,24602.268009286498,-1959.2267015933357
527.9000537109374,22509.519297626728,23213.982343100324,977.8222752270042,329.5442984068964,194.06420873381816,24715.413125468043,-2205.893827841315
528.0000537109374,22306.104916777498,23246.654935045826,1042.2777545094104,344.900655711613,201.89122474675693,24835.724570013608,-2529.61965323611
528.1000537109375,22594.474854706157,23279.327526991325,1113.2214941086156,361.3470441773371,210.19860665490077,24964.09467193218,-2369.619817226023
528.2000537109375,22490.48404668063,23312.000118936827,1191.5541606069662,378.98820383128094,219.02622873254452,25101.56871210762,-2611.084665426988
528.3000537109374,22823.933802423417,23344.67271088229,1278.3553996906292,397.94164238494477,228.4181615654919,25249.387914523355,-2425.4541120999384
528.4000537109374,23527.296701000065,23377.34530282779,1374.9477599374372,418.33952957886487,238.4232094087134,25409.055801752806,-1881.7591007527408
528.5000537109374,23664.949371874092,23410.017894773293,1483.000912822886,440.3309239419482,249.0955289176852,25582.445260455814,-1917.4958885817214
528.6000537109375,22709.34907152419,23442.69048671879,1604.7051441134831,464.08439969348643,260.4953435209302,25771.97537404669,-3062.6263025225016
528.7000537109375,22979.38241401422,23475.363078664293,1743.0599052521623,489.7911576978542,272.6897705498114,25980.90391216412,-3001.521498149901
528.8000537109374,23421.538640447332,23508.035670609755,1902.344646156512,517.6687257599887,285.75378173020005,26213.802824256454,-2792.264183809122
528.9000537109374,24105.623722519114,23540.708262555258,2088.861741081272,547.9653832376134,299.771321928691,26477.306708802833,-2371.6829862837185
529.0000537109374,24553.680887567058,23573.380854500756,2312.0566672965792,580.9654893214758,314.83661633946554,26781.23962745828,-2227.558739891221
529.1000537109375,24552.54690001604,23606.053446446258,2586.1137943871945,616.9959668503534,331.0557028676797,27140.218910551484,-2587.6720105354434
529.2000537109375,25238.810492135788,23638.726038391756,2932.0760757437492,656.434322379089,348.5482346747829,27575.78467118938,-2336.974179053592
529.3000537109374,25585.38447455876,23671.398630337222,3380.420414249116,699.7188257743475,367.44960822674653,28118.987478587434,-2533.603004028675
529.4000537109374,26592.150218161274,23704.07122228272,3973.821811840203,747.3619402220219,387.91348555101524,28813.168459895962,-2221.0182417346878
529.5000537109374,27545.58353802223,23736.743814228223,4769.565198534774,799.9689897242694,410.11479720807546,29716.392799695343,-2170.809261673112
529.6000537109375,28310.380619733554,23769.41640617372,5840.759075351328,858.2657215304412,434.2533375252604,30902.69454058075,-2592.313920847195
529.7000537109375,30837.584522136094,23802.088998119223,7275.262255427266,923.1414005061819,460.5581017170138,32461.050755769684,-1623.4662336335896
529.8000537109374,33472.78471961298,23834.761590064685,9171.184114414225,995.7190924559976,489.2925778684517,34490.95737480336,-1018.1726551903776
529.9000537109374,35233.33906752926,23867.434182010187,11628.088159186576,1077.4726736954674,520.7613209326088,37093.75633582484,-1860.417268295576
530.0000537109374,39188.45810433735,23900.10677395569,14733.673854162003,1170.4214200977417,555.3183524272467,40359.52040064268,-1171.062296305332
530.1000537109375,44019.66918893021,23932.779365901188,18546.62696514063,1277.447432228241,593.3783473662415,44350.232110636294,-330.56292170608504
530.2000537109375,49234.84922181662,23965.45195784669,23077.18146523053,1402.7962941887163,635.4323675410349,49080.86208480697,153.98713700965163
530.3000537109374,56230.08865904154,23998.12454979215,28267.198641473915,1552.831566507708,682.0713754987814,54500.22613327256,1729.8625257689782
